Contaminant,MCLG1,MCL or TT1,Potential Health Effects from Long-Term Exposure Above the MCL (unless specified as short-term),Sources of Contaminant in Drinking Water,
"1,2-Dichloropropane",zero,0.005,Increased risk of cancer,Discharge from industrial chemical factories,
Di(2-ethylhexyl) adipate,0.4,0.4,"Weight loss, liver problems, or possible reproductive difficulties.",Discharge from chemical factories,
Di(2-ethylhexyl) phthalate,zero,0.006,Reproductive difficulties; liver problems; increased risk of cancer,Discharge from rubber and chemical factories,
Dinoseb,0.007,0.007,Reproductive difficulties,Runoff from herbicide used on soybeans and vegetables,
"Dioxin (2,3,7,8-TCDD)",zero,0.00000003,Reproductive difficulties; increased risk of cancer,Emissions from waste incineration and other combustion; discharge from chemical factories,
Diquat,0.02,0.02,Cataracts,Runoff from herbicide use,
Endothall,0.1,0.1,Stomach and intestinal problems,Runoff from herbicide use,
Endrin,0.002,0.002,Liver problems,Residue of banned insecticide,
Epichlorohydrin,zero,TT8,"Increased cancer risk, and over a long period of time, stomach problems",Discharge from industrial chemical factories; an impurity of some water treatment chemicals,
Ethylbenzene,0.7,0.7,Liver or kidneys problems,Discharge from petroleum refineries,
Ethylene dibromide,zero,0.00005,"Problems with liver, stomach, reproductive system, or kidneys; increased risk of cancer",Discharge from petroleum refineries,
Glyphosate,0.7,0.7,Kidney problems; reproductive difficulties,Runoff from herbicide use,
Heptachlor,zero,0.0004,Liver damage; increased risk of cancer,Residue of banned termiticide,
Heptachlor epoxide,zero,0.0002,Liver damage; increased risk of cancer,Breakdown of heptachlor,
Hexachlorobenzene,zero,0.001,Liver or kidney problems; reproductive difficulties; increased risk of cancer,Discharge from metal refineries and agricultural chemical factories,
Hexachlorocyclopentadiene,0.05,0.05,Kidney or stomach problems,Discharge from chemical factories,
Lindane,0.0002,0.0002,Liver or kidney problems,"Runoff/leaching from insecticide used on cattle, lumber, gardens",
Methoxychlor,0.04,0.04,Reproductive difficulties,"Runoff/leaching from insecticide used on fruits, vegetables, alfalfa, livestock",
Oxamyl (Vydate),0.2,0.2,Slight nervous system effects,"Runoff/leaching from insecticide used on apples, potatoes, and tomatoes",
Polychlorinated biphenyls (PCBs),zero,0.0005,Skin changes; thymus gland problems; immune deficiencies; reproductive or nervous system difficulties; increased risk of cancer,Runoff from landfills; discharge of waste chemicals,
Pentachlorophenol,zero,0.001,Liver or kidney problems; increased cancer risk,Discharge from wood preserving factories,
Picloram,0.5,0.5,Liver problems,Herbicide runoff,
Simazine,0.004,0.004,Problems with blood,Herbicide runoff,
Styrene,0.1,0.1,"Liver, kidney, or circulatory system problems",Discharge from rubber and plastic factories; leaching from landfills,
Tetrachloroethylene,zero,0.005,Liver problems; increased risk of cancer,Discharge from factories and dry cleaners,
Toluene,1,1,"Nervous system, kidney, or liver problems",Discharge from petroleum factories,
Toxaphene,zero,0.003,"Kidney, liver, or thyroid problems; increased risk of cancer",Runoff/leaching from insecticide used on cotton and cattle,
"2,4,5-TP (Silvex)",0.05,0.05,Liver problems,Residue of banned herbicide,
"1,2,4-Trichlorobenzene",0.07,0.07,Changes in adrenal glands,Discharge from textile finishing factories,
"1,1,1-Trichloroethane",0.2,0.2,"Liver, nervous system, or circulatory problems",Discharge from metal degreasing sites and other factories,
"1,1,2-Trichloroethane",0.003,0.005,"Liver, kidney, or immune system problems",Discharge from industrial chemical factories,
Trichloroethylene,zero,0.005,Liver problems; increased risk of cancer,Discharge from metal degreasing sites and other factories,
Vinyl chloride,zero,0.002,Increased risk of cancer,Leaching from PVC pipes; discharge from plastic factories,
Xylenes (total),10,10,Nervous system damage,Discharge from petroleum factories; discharge from chemical factories,
"Hazard Index PFAS (HFPO-DA, PFBS, PFHxS, and PFNA)",1(unitless),1(unitless),Not applicable,"Low levels of multiple PFAS that individually would not likely result in increased risk of adverse health effects may result in adverse health effects when combined in a mixture. Increased health risks include liver, immune, and thyroid effects. Additionally, developmental and thyroid effects following repeated exposure during pregnancy and/or childhood. ","Discharge from manufacturing and industrial chemical facilities, use of certain consumer products, occupational exposures, and certain firefighting activities."
HFPO-DA (commonly knowns as GenX Chemicals),0.00001,0.00001,0.00001,"Immune, liver and kidney effects; potential concern for cancer","Discharge from manufacturing and industrial chemical facilities, use of certain consumer products, occupational exposures, and certain firefighting activities."
,,,,,
,,,,Developmental effects following repeated exposure during pregnancy and/or childhood,
PFBS,No individual MCLG, No individual MCL,0.002,See Hazard Index PFAS information,See Hazard Index PFAS information
PFHxS,0.00001,0.00001,0.00001,"Immune, thyroid, and liver effects","Discharge from manufacturing and industrial chemical facilities, use of certain consumer products, occupational exposures, and certain firefighting activities."
,,,,,
,,,,Developmental effects following repeated exposure during pregnancy and/or childhood,
PFNA,0.00001,0.00001,0.00001,Elevated cholesterol levels and immune and liver effects,"Discharge from manufacturing and industrial chemical facilities, use of certain consumer products, occupational exposures, and certain firefighting activities."
,,,,,
,,,,Developmental effects following repeated exposure during pregnancy and/or childhood,
PFOA,zero,0.000004,Not applicable,"Cardiovascular, immune and liver effects; increased incidence of certain types of cancers including kidney and testicular","Discharge from manufacturing and industrial chemical facilities, use of certain consumer products, occupational exposures, and certain firefighting activities."
,,,,,
,,,,Developmental and immune effects following repeated exposure during pregnancy and/or childhood,
PFOS,zero,0.000004,Not applicable,"Cardiovascular, immune and liver effects; increased incidence of certain types of cancers including liver","Discharge from manufacturing and industrial chemical facilities, use of certain consumer products, occupational exposures, and certain firefighting activities."
,,,,,
,,,,Developmental and immune effects following repeated exposure during pregnancy and/or childhood,
Alpha particles,none ---------- zero,15 picocuries per Liter (pCi/L),Increased risk of cancer,Erosion of natural deposits of certain minerals that are radioactive and may emit a form of radiation known as alpha radiation,
Beta particles and photon emitters,none ---------- zero,4 millirems per year,Increased risk of cancer,Decay of natural and man-made deposits of,
,,,,,
,,,,certain minerals that are radioactive and may emit forms of radiation known as photons and beta radiation,
Radium 226 and Radium 228 (combined),none ---------- zero,5 pCi/L,Increased risk of cancer,Erosion of natural deposits,
Uranium,zero,30 ug/L as of 12/08/03,"Increased risk of cancer, kidney toxicity",Erosion of natural deposits,
